connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=EMPLOYEE_ID1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=EMPLOYEE_ID
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=FIRST_NAME1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=FIRST_NAME
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=LAST_NAME1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=LAST_NAME
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=EMAIL1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=EMAIL
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=PHONE_NUMBER1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=PHONE_NUMBER
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=HIRE_DATE1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=HIRE_DATE
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=JOB_ID1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=JOB_ID
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=SALARY1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=SALARY
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=COMMISSION_PCT1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=COMMISSION_PCT
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=MANAGER_ID1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=MANAGER_ID
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=DEPARTMENT_ID1, toInstance=UC05_ROUTER_EMPLOYEES_MGR, toField=DEPARTMENT_ID
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=EMPLOYEE_ID3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=EMPLOYEE_ID
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=FIRST_NAME3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=FIRST_NAME
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=LAST_NAME3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=LAST_NAME
connector:fromInstance=trans_ROUTER_EMPLOYEES_BY_JOB_ID, fromField=EMAIL3, toInstance=UC05_ROUTER_EMPLOYEES_REP, toField=EMAIL
